
0001_0001 | markets | mkt_idx | sp 500 ends best week in months - http://news.yahoo.com/rss/stock-markets 
0015_0010 | move_it | UNCAT | professional leadership my friendly wakeup call from the apta - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0011 | move_it | UNCAT | residency pros and woes for the soon to be new grad… - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0012 | move_it | UNCAT | pushing practice - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0013 | move_it | UNCAT | clinical contemplation on christmas - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0014 | move_it | UNCAT | congrats to of our own - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0015 | move_it | UNCAT | specializing - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0016 | move_it | UNCAT | ambitious changes for move it - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0017 | move_it | UNCAT | the big news new professional slated for national office - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0018 | move_it | UNCAT | the fountain of youth - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0019 | move_it | UNCAT | why move it why read it and why now - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0020 | move_it | UNCAT | it doesnt take long - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0021 | move_it | UNCAT | so much to do so little time and just as much certainty - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0022 | move_it | UNCAT | opportunities and inquiry - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0023 | move_it | UNCAT | poptsrfp - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0024 | move_it | UNCAT | its funny sometimes the way energy cycles around - http://moveitnps.blogspot.com/feeds/posts/default 
0015_0025 | move_it | UNCAT | rekindling - http://moveitnps.blogspot.com/feeds/posts/default 
